$zeta2/LF$,$norm_omega_s$
-7.500000e+00,0.000000e+00
-6.664236e+00,-2.207758e-02
-6.126192e+00,-2.122320e-02
-5.727518e+00,-2.446973e-02
-5.409989e+00,-1.861312e-02
-5.145628e+00,-1.460980e-02
-4.918817e+00,-2.962639e-02
-4.719942e+00,-3.026651e-02
-4.542661e+00,-2.978697e-02
-4.382572e+00,-3.314828e-02
-4.236493e+00,-3.783953e-02
-4.102048e+00,-4.260285e-02
-3.977418e+00,-4.375432e-02
-3.861178e+00,-4.359534e-02
-3.752191e+00,-4.219432e-02
-3.649535e+00,-5.233065e-02
-3.552453e+00,-5.753338e-02
-3.460314e+00,-6.329542e-02
-3.372590e+00,-7.011275e-02
-3.288830e+00,-6.702579e-02
-3.208649e+00,-6.596089e-02
-3.131714e+00,-6.934144e-02
-3.057737e+00,-6.991610e-02
-2.986466e+00,-6.912867e-02
-2.917678e+00,-6.926495e-02
-2.851178e+00,-6.908575e-02
-2.786790e+00,-6.952270e-02
-2.724358e+00,-7.054947e-02
-2.663744e+00,-7.023586e-02
-2.604822e+00,-7.165902e-02
-2.547478e+00,-7.389495e-02
-2.491609e+00,-7.466475e-02
-2.437122e+00,-7.756168e-02
-2.383931e+00,-7.789791e-02
-2.331958e+00,-7.778285e-02
-2.281133e+00,-7.895485e-02
-2.231388e+00,-8.061075e-02
-2.182664e+00,-8.272046e-02
-2.134904e+00,-8.557447e-02
-2.088057e+00,-8.716182e-02
-2.042074e+00,-8.887666e-02
-1.996910e+00,-9.138727e-02
-1.952525e+00,-9.485153e-02
-1.908879e+00,-9.684272e-02
-1.865935e+00,-9.914955e-02
-1.823660e+00,-1.021241e-01
-1.782022e+00,-1.044270e-01
-1.740991e+00,-1.072659e-01
-1.700539e+00,-1.101917e-01
-1.660639e+00,-1.143298e-01
-1.621265e+00,-1.172426e-01
-1.582395e+00,-1.207645e-01
-1.544006e+00,-1.247649e-01
-1.506077e+00,-1.287998e-01
-1.468587e+00,-1.335572e-01
-1.431518e+00,-1.379900e-01
-1.394851e+00,-1.417421e-01
-1.358569e+00,-1.469892e-01
-1.322656e+00,-1.522805e-01
-1.287095e+00,-1.568380e-01
-1.251873e+00,-1.614239e-01
-1.216973e+00,-1.662584e-01
-1.182384e+00,-1.703100e-01
-1.148091e+00,-1.741296e-01
-1.114081e+00,-1.771034e-01
-1.080344e+00,-1.798185e-01
-1.046866e+00,-1.816679e-01
-1.013638e+00,-1.824046e-01
-9.806468e-01,-1.827382e-01
-9.478835e-01,-1.819932e-01
-9.153376e-01,-1.792923e-01
-8.829994e-01,-1.753232e-01
-8.508595e-01,-1.698986e-01
-8.189087e-01,-1.618155e-01
-7.871382e-01,-1.506851e-01
-7.555394e-01,-1.367215e-01
-7.241039e-01,-1.200232e-01
-6.928236e-01,-9.992533e-02
-6.616907e-01,-7.555289e-02
-6.306974e-01,-4.785403e-02
-5.998362e-01,-1.617258e-02
-5.690999e-01,1.971390e-02
-5.384811e-01,5.962547e-02
-5.079729e-01,1.036774e-01
-4.775685e-01,1.531291e-01
-4.472610e-01,2.063625e-01
-4.170439e-01,2.640095e-01
-3.869106e-01,3.256324e-01
-3.568548e-01,3.907294e-01
-3.268701e-01,4.582796e-01
-2.969503e-01,5.268367e-01
-2.670893e-01,5.956292e-01
-2.372810e-01,6.625222e-01
-2.075194e-01,7.262845e-01
-1.777985e-01,7.861029e-01
-1.481124e-01,8.406446e-01
-1.184552e-01,8.882846e-01
-8.882123e-02,9.275088e-01
-5.920454e-02,9.580266e-01
-2.959939e-02,9.837980e-01
-0.000000e+00,1.000000e+00
2.959939e-02,9.835342e-01
5.920454e-02,9.577323e-01
8.882123e-02,9.275213e-01
1.184552e-01,8.883366e-01
1.481124e-01,8.400109e-01
1.777985e-01,7.857065e-01
2.075194e-01,7.259814e-01
2.372810e-01,6.617682e-01
2.670893e-01,5.945172e-01
2.969503e-01,5.257763e-01
3.268701e-01,4.571527e-01
3.568548e-01,3.893892e-01
3.869106e-01,3.243271e-01
4.170439e-01,2.628658e-01
4.472610e-01,2.060927e-01
4.775685e-01,1.536743e-01
5.079729e-01,1.065391e-01
5.384811e-01,6.348061e-02
5.690999e-01,2.431595e-02
5.998362e-01,-1.022934e-02
6.306974e-01,-4.142215e-02
6.616907e-01,-6.855360e-02
6.928236e-01,-9.138222e-02
7.241039e-01,-1.118701e-01
7.555394e-01,-1.289017e-01
7.871382e-01,-1.426198e-01
8.189087e-01,-1.534243e-01
8.508595e-01,-1.612015e-01
8.829994e-01,-1.670317e-01
9.153376e-01,-1.708342e-01
9.478835e-01,-1.727045e-01
